rec_id,visit
mesa-sleep-0001,v1
mesa-sleep-0002,v1
mesa-sleep-0006,v1
mesa-sleep-0010,v1
mesa-sleep-0012,v1
mesa-sleep-0014,v1
mesa-sleep-0016,v1
mesa-sleep-0021,v1
mesa-sleep-0027,v1
mesa-sleep-0028,v1
mesa-sleep-0033,v1
mesa-sleep-0035,v1
mesa-sleep-0036,v1
mesa-sleep-0038,v1
mesa-sleep-0046,v1
mesa-sleep-0048,v1
mesa-sleep-0050,v1
mesa-sleep-0052,v1
mesa-sleep-0054,v1
mesa-sleep-0056,v1
mesa-sleep-0064,v1
mesa-sleep-0070,v1
mesa-sleep-0074,v1
mesa-sleep-0077,v1
mesa-sleep-0079,v1
mesa-sleep-0081,v1
mesa-sleep-0084,v1
mesa-sleep-0085,v1
mesa-sleep-0087,v1
mesa-sleep-0099,v1
mesa-sleep-0101,v1
mesa-sleep-0105,v1
mesa-sleep-0107,v1
mesa-sleep-0109,v1
mesa-sleep-0110,v1
mesa-sleep-0111,v1
mesa-sleep-0113,v1
mesa-sleep-0118,v1
mesa-sleep-0120,v1
mesa-sleep-0121,v1
mesa-sleep-0125,v1
mesa-sleep-0132,v1
mesa-sleep-0133,v1
mesa-sleep-0138,v1
mesa-sleep-0140,v1
mesa-sleep-0144,v1
mesa-sleep-0149,v1
mesa-sleep-0152,v1
mesa-sleep-0155,v1
mesa-sleep-0159,v1
mesa-sleep-0167,v1
mesa-sleep-0169,v1
mesa-sleep-0171,v1
mesa-sleep-0183,v1
mesa-sleep-0187,v1
mesa-sleep-0188,v1
mesa-sleep-0193,v1
mesa-sleep-0194,v1
mesa-sleep-0195,v1
mesa-sleep-0196,v1
mesa-sleep-0197,v1
mesa-sleep-0204,v1
mesa-sleep-0211,v1
mesa-sleep-0219,v1
mesa-sleep-0220,v1
mesa-sleep-0225,v1
mesa-sleep-0236,v1
mesa-sleep-0241,v1
mesa-sleep-0248,v1
mesa-sleep-0251,v1
mesa-sleep-0258,v1
mesa-sleep-0269,v1
mesa-sleep-0271,v1
mesa-sleep-0275,v1
mesa-sleep-0282,v1
mesa-sleep-0284,v1
mesa-sleep-0285,v1
mesa-sleep-0286,v1
mesa-sleep-0288,v1
mesa-sleep-0292,v1
mesa-sleep-0295,v1
mesa-sleep-0299,v1
mesa-sleep-0301,v1
mesa-sleep-0303,v1
mesa-sleep-0306,v1
mesa-sleep-0310,v1
mesa-sleep-0312,v1
mesa-sleep-0314,v1
mesa-sleep-0318,v1
mesa-sleep-0319,v1
mesa-sleep-0323,v1
mesa-sleep-0328,v1
mesa-sleep-0329,v1
mesa-sleep-0332,v1
mesa-sleep-0338,v1
mesa-sleep-0339,v1
mesa-sleep-0344,v1
mesa-sleep-0345,v1
mesa-sleep-0346,v1
mesa-sleep-0347,v1
mesa-sleep-0350,v1
mesa-sleep-0359,v1
mesa-sleep-0363,v1
mesa-sleep-0368,v1
mesa-sleep-0372,v1
mesa-sleep-0374,v1
mesa-sleep-0380,v1
mesa-sleep-0381,v1
mesa-sleep-0382,v1
mesa-sleep-0384,v1
mesa-sleep-0385,v1
mesa-sleep-0386,v1
mesa-sleep-0388,v1
mesa-sleep-0392,v1
mesa-sleep-0393,v1
mesa-sleep-0399,v1
mesa-sleep-0402,v1
mesa-sleep-0405,v1
mesa-sleep-0407,v1
mesa-sleep-0408,v1
mesa-sleep-0414,v1
mesa-sleep-0415,v1
mesa-sleep-0416,v1
mesa-sleep-0419,v1
mesa-sleep-0423,v1
mesa-sleep-0427,v1
mesa-sleep-0435,v1
