target,arm,k,dim,r2,n_rows
HR_mean,v8_latent,2,32,0.24163357428520638,70451
HR_mean,v8_latent,4,32,0.29985723981892054,70451
HR_mean,v8_latent,8,32,0.33909557015442615,70451
HR_mean,v8_latent,16,32,0.35753217979742424,70451
HR_mean,v8_latent,32,32,0.3867711743926755,70451
HR_mean,v8_backbone,2,384,0.28389706967441497,70451
HR_mean,v8_backbone,4,384,0.30098821316231306,70451
HR_mean,v8_backbone,8,384,0.376596187099581,70451
HR_mean,v8_backbone,16,384,0.6203399612106943,70451
HR_mean,v8_backbone,32,384,0.755904675386653,70451
HR_mean,v8_backbone,64,384,0.7809401860694217,70451
HR_mean,v8_backbone,128,384,0.7923495584651864,70451
HR_mean,v8_backbone,384,384,0.8000901327492795,70451
HR_mean,plain_backbone,2,384,0.24786524606617832,70451
HR_mean,plain_backbone,4,384,0.3064113311579755,70451
HR_mean,plain_backbone,8,384,0.4178020622234493,70451
HR_mean,plain_backbone,16,384,0.5942560457841957,70451
HR_mean,plain_backbone,32,384,0.7479697556476612,70451
HR_mean,plain_backbone,64,384,0.7828262446180426,70451
HR_mean,plain_backbone,128,384,0.7918619553209246,70451
HR_mean,plain_backbone,384,384,0.7938341851815155,70451
HR_std,v8_latent,2,32,0.31487489139015923,70451
HR_std,v8_latent,4,32,0.35009477084491447,70451
HR_std,v8_latent,8,32,0.42707969597419526,70451
HR_std,v8_latent,16,32,0.45947327438816454,70451
HR_std,v8_latent,32,32,0.5171340052740004,70451
HR_std,v8_backbone,2,384,0.2832657052165424,70451
HR_std,v8_backbone,4,384,0.3259789337783612,70451
HR_std,v8_backbone,8,384,0.4540632196861759,70451
HR_std,v8_backbone,16,384,0.5599185455390552,70451
HR_std,v8_backbone,32,384,0.6253794775282736,70451
HR_std,v8_backbone,64,384,0.6735237820515815,70451
HR_std,v8_backbone,128,384,0.6838961678243931,70451
HR_std,v8_backbone,384,384,0.7054990884948311,70451
HR_std,plain_backbone,2,384,0.293554370903774,70451
HR_std,plain_backbone,4,384,0.36342713973064755,70451
HR_std,plain_backbone,8,384,0.41651290004624675,70451
HR_std,plain_backbone,16,384,0.5573953374846428,70451
HR_std,plain_backbone,32,384,0.616752513208358,70451
HR_std,plain_backbone,64,384,0.628172166451004,70451
HR_std,plain_backbone,128,384,0.6769646264755756,70451
HR_std,plain_backbone,384,384,0.716881297618992,70451
RMSSD,v8_latent,2,32,0.28721513734898985,70451
RMSSD,v8_latent,4,32,0.3282887659556577,70451
RMSSD,v8_latent,8,32,0.3941073726559432,70451
RMSSD,v8_latent,16,32,0.41906837426967736,70451
RMSSD,v8_latent,32,32,0.464669002915451,70451
RMSSD,v8_backbone,2,384,0.27552643394747456,70451
RMSSD,v8_backbone,4,384,0.31587754789268563,70451
RMSSD,v8_backbone,8,384,0.4140906408167814,70451
RMSSD,v8_backbone,16,384,0.5018710108265684,70451
RMSSD,v8_backbone,32,384,0.5557952886679276,70451
RMSSD,v8_backbone,64,384,0.6052166779199324,70451
RMSSD,v8_backbone,128,384,0.6166996051674756,70451
RMSSD,v8_backbone,384,384,0.6334378112590373,70451
RMSSD,plain_backbone,2,384,0.27212988416030703,70451
RMSSD,plain_backbone,4,384,0.3496905408446829,70451
RMSSD,plain_backbone,8,384,0.3785908259098324,70451
RMSSD,plain_backbone,16,384,0.49752416852607384,70451
RMSSD,plain_backbone,32,384,0.5409383784432187,70451
RMSSD,plain_backbone,64,384,0.5528451774425633,70451
RMSSD,plain_backbone,128,384,0.601090267013962,70451
RMSSD,plain_backbone,384,384,0.6367778875099903,70451
HF_power,v8_latent,2,32,0.18483724031858195,70451
HF_power,v8_latent,4,32,0.21107216033889475,70451
HF_power,v8_latent,8,32,0.2552381106032914,70451
